country,yield_upper
USA,21
USA,15
USA,21
USA,21
USA,21
USA,37
USA,49
USA,18
USA,1
USA,8
USA,1
USA,8
USA,22
USA,81
USA,47
USA,225
USA,45.5
USA,0.1
USA,3.5
USA,14
USA,21
USA,31
USA,1.2
USA,1.2
USA,1
USA,1
USA,31
USA,19
USA,12
USA,11
USA,15
USA,14
USA,10400
USA,500
USA,16
USA,24
USA,0.2
USA,11
USA,0.2
USA,23
USA,43
USA,27
USA,32
USA,15
USA,61
USA,15000
USA,11000
USA,110
USA,6900
USA,13500
USA,1690
USA,1
USA,2
USA,7
USA,43
USA,4
USA,8
USA,1
USA,14
USA,3
USA,3
USA,2
USA,22
USA,29
USA,30
USA,28
USA,0
USA,0
USA,0
USA,20
USA,40
USA,3800
USA,3500
USA,0.19
USA,14.9
USA,13.7
USA,365
USA,8
USA,1.49
USA,1.7
USA,15.2
USA,1100
USA,360
USA,1850
USA,4500
USA,5000
USA,250
USA,0
USA,12
USA,0.14
USA,5e-4
USA,10
USA,37
USA,0
USA,74
USA,17
USA,2
USA,10
USA,9.7
USA,0
USA,19
USA,0
USA,17
USA,11
USA,0
USA,4.7
USA,44
USA,11
USA,0.2
USA,0.3
USA,1
USA,11
USA,12
USA,1.7
USA,19
USA,12
USA,8
USA,0
USA,0.5
USA,0.001
USA,0.001
USA,1.7
USA,18
USA,1360
USA,81
USA,1370
USA,9
USA,5.9
USA,25.1
USA,330
USA,57
USA,11.6
USA,92
USA,15
USA,8
USA,213
USA,319
USA,1450
USA,11
USA,412
USA,880
USA,8900
USA,14
USA,5.2
USA,220
USA,397
USA,9300
USA,0
USA,255
USA,65
USA,202
USA,2000
USA,3800
USA,0
USA,3800
USA,0.02
USA,2
USA,2
USA,2
USA,0.038
USA,0.015
USA,0.083
USA,0.0015
USA,0
USA,0.002
USA,0.013
USA,2
USA,0.077
USA,0.0055
USA,0.072
USA,0.079
USA,1.4
USA,0.115
USA,0.0012
USA,5
USA,0.037
USA,0.024
USA,0.09
USA,0
USA,6
USA,0.115
USA,0.188
USA,0
USA,0.021
USA,0.0017
USA,7e-4
USA,4.9
USA,2.2
USA,6e-4
USA,0.055
USA,0.0078
USA,0
USA,1.3
USA,22
USA,2e-4
USA,0
FRANCE,200
FRANCE,20
FRANCE,20
FRANCE,20
USA,2.6
USA,20
USA,20
USA,20
USA,20
FRANCE,20
USA,13.4
USA,3
USA,0.5
USA,20
USA,0.15
USA,5.1
USA,6.4
USA,20
USA,3.07
USA,7.1
USA,5.7
USA,1.9
USA,20
USA,11.9
USA,20
USA,0.43
USA,20
USA,8.4
USA,20
USA,3.4
USA,20
USA,10.6
USA,20
USA,20
USA,1.85
USA,20
USA,190
USA,410
USA,20
FRANCE,150
USA,1090
USA,670
USA,20
USA,100
USA,100
USA,20
USA,50
USA,20
USA,500
USA,40
USA,97
USA,4.5
USA,73
USA,20
USA,2.6
USA,43
USA,20
USA,20
USA,782
USA,210
USA,3000
USA,1200
USA,2.9
USA,800
USA,52
USA,2.2
USA,20
USA,81.5
USA,7650
USA,67
USA,20
USA,1270
USA,20
USA,104
USA,20
USA,1400
USA,1000
USA,3880
USA,0.5
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,75
USA,115
USA,11.3
USA,20
USA,20
USA,1590
USA,20
USA,12.5
USA,20
USA,1000
USA,20
USA,800
USA,8300
USA,1000
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
FRANCE,20
USA,20
FRANCE,5
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,0
USA,20
USA,20
USA,200
USA,0
USA,20
USA,0
USA,3.1
USA,20
USA,20
USA,0
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,249
USA,20
USA,20
USA,20
USA,20
USA,200
USA,20
FRANCE,150
USA,12
USA,20
USA,20
USA,200
USA,20
USA,5.3
USA,20
USA,200
USA,10.5
USA,20
USA,20
USA,20
FRANCE,5
USA,20
USA,20
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,200
USA,20
USA,20
USA,4.4
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,38
USA,20
USA,5.3
USA,20
USA,20
USA,12
FRANCE,20
USA,200
USA,20
USA,1.3
USA,2.7
USA,20
USA,0.092
USA,20
USA,20
USA,20
USA,0.33
USA,10.1
USA,20
USA,20
FRANCE,150
USA,200
USA,20
USA,200
USA,20
USA,4.3
USA,20
USA,20
USA,20
USA,7
USA,20
USA,20
USA,0.75
USA,20
FRANCE,5
USA,1.3
USA,20
USA,20
USA,20
USA,20
USA,20
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
FRANCE,5
USA,80
USA,20
USA,20
FRANCE,20
USA,200
USA,20
USA,200
USA,20
USA,200
USA,20
USA,20
USA,20
USA,20
FRANCE,20
USA,19
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,70
USA,1.4
USA,20
USA,20
USA,20
USA,12
USA,73
USA,20
USA,200
USA,200
USA,22
USA,62
USA,200
USA,20
USA,20
USA,200
USA,25
USA,365
FRANCE,200
FRANCE,200
FRANCE,0
USA,20
USA,20
USA,20
FRANCE,200
USA,7.8
USA,20
FRANCE,200
USA,20
FRANCE,1000
USA,20
USA,20
USA,20
USA,20
USA,20
USA,0.38
USA,20
USA,20
USA,870
USA,20
USA,39
USA,200
USA,20
USA,20
USA,20
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,200
USA,250
USA,155
USA,76
USA,20
FRANCE,20
USA,20
USA,20
FRANCE,200
USA,10
FRANCE,200
USA,20
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
USA,200
USA,20
USA,2.2
USA,200
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
USA,29
USA,20
USA,7.4
USA,200
USA,1000
USA,20
USA,2.3
USA,20
USA,200
USA,20
USA,20
USA,20
USA,1.1
USA,1.5
USA,200
USA,20
USA,20
USA,200
USA,200
USA,20
USA,1300
USA,20
USA,20
USA,200
USA,20
USA,20
USA,20
USA,200
USA,20
USA,20
USA,200
FRANCE,200
FRANCE,1000
USA,20
USA,200
FRANCE,200
USA,20
USA,20
USA,20
USA,200
USA,200
USA,20
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
USA,30
USA,20
USA,20
USA,20
USA,1150
USA,10
USA,200
USA,20
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,100
USA,20
USA,200
USA,200
USA,200
USA,20
USA,200
USA,20
USA,20
USA,20
USA,200
USA,200
USA,20
USA,20
USA,20
USA,40
USA,20
USA,1000
USA,20
USA,20
USA,1000
USA,1000
USA,20
USA,11
USA,16.7
USA,110
USA,1.7
USA,200
USA,20
USA,20
USA,20
USA,20
USA,200
USA,20
USA,200
USA,20
USA,20
USA,200
USA,200
USA,25
USA,20
USA,200
USA,200
USA,8.7
USA,20
USA,20
USA,200
USA,10000
USA,12.7
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
USA,200
FRANCE,20
USA,20
USA,200
FRANCE,1000
USA,20
USA,105
USA,20
USA,20
FRANCE,1000
FRANCE,20
USA,20
FRANCE,1000
FRANCE,20
FRANCE,200
FRANCE,1000
USA,20
USA,200
USA,20
USA,200
USA,20
USA,20
USA,200
USA,20
USA,20
USA,220
USA,10
FRANCE,200
FRANCE,1000
USA,20
USA,200
USA,20
USA,200
USA,20
USA,20
FRANCE,20
USA,83
USA,20
USA,20
USA,20
USA,20
USA,20
FRANCE,20
FRANCE,1000
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
USA,5000
USA,20
USA,20
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
FRANCE,20
USA,20
USA,20
USA,20
FRANCE,20
USA,20
USA,20
FRANCE,20
FRANCE,0
USA,20
USA,200
USA,15
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,200
USA,20
USA,200
USA,20
USA,20
USA,20
USA,90
USA,20
USA,20
USA,33
USA,20
USA,20
USA,20
USA,1000
USA,200
USA,200
USA,20
FRANCE,20
FRANCE,20
FRANCE,20
FRANCE,20
FRANCE,20
FRANCE,0
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
FRANCE,20
USA,20
FRANCE,0
FRANCE,1000
USA,200
FRANCE,20
USA,20
FRANCE,20
FRANCE,0
USA,20
FRANCE,200
FRANCE,20
USA,200
FRANCE,1000
USA,20
USA,200
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,20
USA,200
USA,200
USA,20
USA,200
USA,200
USA,1000
USA,200
USA,200
FRANCE,5
USA,20
USA,20
USA,1000
USA,1000
USA,20
USA,20
USA,1000
USA,20
USA,1000
FRANCE,20
USA,20
USA,200
USA,1000
USA,200
USA,200
USA,1000
USA,500
USA,20
USA,500
USA,1000
USA,500
USA,500
FRANCE,5
USA,20
USA,20
FRANCE,20
FRANCE,0
USA,150
USA,20
FRANCE,5
USA,20
USA,20
FRANCE,5
USA,20
USA,20
USA,20
USA,150
USA,20
FRANCE,20
USA,20
FRANCE,150
FRANCE,5
USA,150
USA,150
USA,150
USA,20
FRANCE,0
FRANCE,20
FRANCE,0
USA,20
USA,150
USA,20
USA,20
USA,150
USA,20
USA,20
USA,150
USA,20
USA,20
USA,150
FRANCE,5
USA,20
FRANCE,150
USA,150
USA,20
FRANCE,5
USA,20
USA,150
FRANCE,5
USA,20
FRANCE,5
USA,150
USA,20
FRANCE,5
USA,150
USA,20
USA,0
USA,20
FRANCE,20
USA,20
USA,150
FRANCE,5
FRANCE,5
USA,150
USA,20
USA,150
USA,150
USA,20
USA,20
FRANCE,150
FRANCE,0
FRANCE,20
USA,20
USA,150
FRANCE,20
FRANCE,0
USA,20
USA,150
USA,150
FRANCE,20
FRANCE,20
USA,20
FRANCE,20
FRANCE,20
USA,20
USA,150
FRANCE,20
USA,20
USA,150
FRANCE,150
FRANCE,150
FRANCE,5
USA,150
USA,150
USA,140
USA,20
USA,150
FRANCE,5
FRANCE,5
USA,20
USA,20
FRANCE,5
USA,20
FRANCE,5
USA,20
FRANCE,150
FRANCE,20
USA,150
FRANCE,20
USA,150
USA,20
USA,20
USA,150
FRANCE,150
FRANCE,20
USA,20
FRANCE,20
FRANCE,0
FRANCE,150
USA,150
USA,20
USA,150
USA,107
USA,20
USA,20
FRANCE,5
FRANCE,150
USA,150
USA,20
USA,20
FRANCE,5
FRANCE,5
FRANCE,20
FRANCE,20
USA,20
USA,20
USA,150
FRANCE,20
USA,20
FRANCE,5
USA,20
FRANCE,5
FRANCE,150
USA,20
USA,20
USA,20
USA,20
USA,150
FRANCE,5
FRANCE,20
USA,150
USA,150
FRANCE,20
FRANCE,20
USA,20
USA,133
USA,150
USA,150
FRANCE,5
FRANCE,5
FRANCE,20
FRANCE,5
FRANCE,0
USA,20
USA,20
USA,150
USA,20
USA,150
FRANCE,5
FRANCE,150
FRANCE,5
FRANCE,150
USA,150
USA,138
USA,20
USA,20
USA,20
USA,20
USA,150
USA,150
USA,20
FRANCE,5
USA,150
USA,20
USA,20
USA,150
USA,150
FRANCE,150
FRANCE,5
USA,20
FRANCE,150
USA,20
USA,20
USA,20
FRANCE,5
FRANCE,20
FRANCE,20
USA,20
FRANCE,150
USA,20
USA,20
USA,143
USA,20
USA,20
USA,150
USA,20
FRANCE,5
FRANCE,20
USA,20
USA,150
USA,150
USA,20
USA,150
USA,20
USA,20
FRANCE,5
FRANCE,150
USA,20
USA,150
FRANCE,20
FRANCE,150
USA,150
USA,20
USA,150
USA,20
USA,20
USA,20
USA,150
USA,20
FRANCE,20
FRANCE,150
USA,20
FRANCE,5
FRANCE,150
USA,150
USA,20
USA,150
USA,150
USA,150
USA,20
FRANCE,20
USA,150
FRANCE,150
FRANCE,20
FRANCE,20
USA,150
USA,20
USA,20
USA,150
USA,20
USA,20
USA,20
USA,20
USA,20
USA,150
FRANCE,5
FRANCE,150
USA,20
FRANCE,20
FRANCE,150
USA,150
USA,29
USA,20
USA,20
USA,20
FRANCE,20
FRANCE,5
USA,20
FRANCE,20
FRANCE,150
USA,150
USA,119
USA,20
USA,20
USA,20
USA,150
USA,150
FRANCE,5
FRANCE,20
USA,150
FRANCE,5
FRANCE,150
USA,150
USA,20
USA,20
USA,20
USA,150
USA,20
USA,150
FRANCE,20
FRANCE,150
FRANCE,20
USA,20
USA,20
FRANCE,150
USA,20
USA,150
USA,150
USA,150
FRANCE,150
FRANCE,20
FRANCE,150
FRANCE,20
USA,20
USA,20
USA,150
USA,20
FRANCE,150
USA,150
USA,150
FRANCE,150
USA,150
FRANCE,5
USA,150
USA,150
FRANCE,20
USA,150
USA,150
USA,20
USA,150
USA,150
FRANCE,5
FRANCE,150
USA,20
FRANCE,150
FRANCE,150
USA,20
USA,150
USA,150
USA,20
USA,150
FRANCE,20
USA,20
FRANCE,5
USA,20
FRANCE,150
FRANCE,150
USA,150
USA,150
USA,20
FRANCE,150
USA,150
FRANCE,20
USA,20
FRANCE,20
FRANCE,0
FRANCE,150
USA,20
USA,150
USA,20
FRANCE,20
FRANCE,20
USA,150
USA,20
FRANCE,150
FRANCE,20
USA,20
USA,20
USA,20
USA,150
FRANCE,150
FRANCE,150
USA,20
USA,150
USA,150
FRANCE,5
FRANCE,150
FRANCE,150
FRANCE,150
FRANCE,5
FRANCE,150
USA,20
USA,150
USA,20
USA,150
USA,150
USA,20
USA,20
USA,20
USA,20
USA,20
FRANCE,20
FRANCE,110
FRANCE,60
FRANCE,40
FRANCE,30
FRANCE,120
